time_s	force_N
18.394020	0.279503
18.396090	1.058151
18.398160	0.279503
18.400230	0.668827
18.402300	0.668827
18.404370	1.058151
18.406440	0.279503
18.408510	0.668827
18.410580	0.668827
18.412650	0.279503
18.414720	-0.109821
18.416790	0.668827
18.418860	0.279503
18.420930	1.058151
18.423000	0.279503
18.425070	-0.109821
18.427140	0.668827
18.429210	1.447475
18.431280	1.058151
18.433350	0.668827
18.435420	0.279503
18.437490	-0.109821
18.439560	0.279503
18.441630	1.058151
18.443700	1.058151
18.445770	0.668827
18.447840	0.668827
18.449910	1.058151
18.451980	1.058151
18.454050	0.279503
18.456120	0.279503
18.458190	0.279503
18.460260	0.279503
18.462330	1.058151
18.464400	0.279503
18.466470	0.668827
18.468540	0.668827
18.470610	0.668827
18.472680	0.279503
18.474750	0.668827
18.476820	-0.109821
18.478890	0.668827
18.480960	1.058151
18.483030	1.447475
18.485100	1.058151
18.487170	1.058151
18.489240	1.058151
18.491310	0.668827
18.493380	0.279503
18.495450	1.447475
18.497520	-0.109821
18.499590	0.279503
18.501660	0.279503
18.503730	0.668827
18.505800	0.279503
18.507870	1.447475
18.509940	1.058151
18.512010	0.668827
18.514080	0.668827
18.516150	0.668827
18.518220	1.058151
18.520290	0.668827
18.522360	0.668827
18.524430	0.668827
18.526500	0.668827
18.528570	0.668827
18.530640	1.058151
18.532710	1.447475
18.534780	1.058151
18.536850	0.279503
18.538920	-0.109821
18.540990	0.668827
18.543060	0.279503
18.545130	0.668827
18.547200	0.279503
18.549270	0.279503
18.551340	1.058151
18.553410	0.668827
18.555480	1.058151
18.557550	1.058151
18.559620	-0.109821
18.561690	0.668827
18.563760	0.668827
18.565830	0.668827
18.567900	0.279503
18.569970	0.668827
18.572040	1.836799
18.574110	1.058151
18.576180	0.279503
18.578250	0.279503
18.580320	0.668827
18.582390	1.447475
18.584460	0.668827
18.586530	0.668827
18.588600	0.668827
18.590670	0.668827
18.592740	0.279503
18.594810	0.668827
18.596880	-0.109821
18.598950	0.668827
18.601020	0.279503
18.603090	0.279503
18.605160	0.668827
18.607230	1.058151
18.609300	0.279503
18.611370	0.668827
18.613440	0.279503
18.615510	1.058151
18.617580	1.447475
18.619650	0.668827
18.621720	0.279503
18.623790	-0.109821
18.625860	-0.109821
18.627930	0.668827
18.630000	0.668827
18.632070	0.279503
18.634140	0.279503
18.636210	0.279503
18.638280	1.058151
18.640350	0.279503
18.642420	0.279503
18.644490	-0.109821
18.646560	1.447475
18.648630	0.279503
18.650700	0.279503
18.652770	1.058151
18.654840	0.279503
18.656910	0.668827
18.658980	0.668827
18.661050	0.279503
18.663120	0.279503
18.665190	0.279503
18.667260	0.668827
18.669330	0.668827
18.671400	0.668827
18.673470	1.058151
18.675540	-0.109821
18.677610	1.058151
18.679680	0.668827
18.681750	1.058151
18.683820	0.668827
